"physeq","agg_level","filtTax","filtTaxPar","filtSamp","filtSampPar","samples","ASVs","samples_agglo","ASVs_agglo","samples_filtered","ASVs_filtered"
"agp","Class","highestVar",40,"totalReads",0,1191,17056,1191,74,1191,40
"agp","Class","highestVar",40,"totalReads",500,1191,17056,1191,74,1191,40
"agp","Class","highestVar",40,"totalReads",1000,1191,17056,1191,74,1184,40
"agp","Class","highestVar",100,"totalReads",0,1191,17056,1191,74,1191,74
"agp","Class","highestVar",100,"totalReads",500,1191,17056,1191,74,1191,74
"agp","Class","highestVar",100,"totalReads",1000,1191,17056,1191,74,1184,74
"agp","Class","highestVar",150,"totalReads",0,1191,17056,1191,74,1191,74
"agp","Class","highestVar",150,"totalReads",500,1191,17056,1191,74,1191,74
"agp","Class","highestVar",150,"totalReads",1000,1191,17056,1191,74,1184,74
"agp","Phylum","highestVar",40,"totalReads",0,1191,17056,1191,32,1191,32
"agp","Phylum","highestVar",40,"totalReads",500,1191,17056,1191,32,1191,32
"agp","Phylum","highestVar",40,"totalReads",1000,1191,17056,1191,32,1184,32
"agp","Phylum","highestVar",100,"totalReads",0,1191,17056,1191,32,1191,32
"agp","Phylum","highestVar",100,"totalReads",500,1191,17056,1191,32,1191,32
"agp","Phylum","highestVar",100,"totalReads",1000,1191,17056,1191,32,1184,32
"agp","Phylum","highestVar",150,"totalReads",0,1191,17056,1191,32,1191,32
"agp","Phylum","highestVar",150,"totalReads",500,1191,17056,1191,32,1191,32
"agp","Phylum","highestVar",150,"totalReads",1000,1191,17056,1191,32,1184,32
"agp","Order","highestVar",40,"totalReads",0,1191,17056,1191,168,1191,40
"agp","Order","highestVar",40,"totalReads",500,1191,17056,1191,168,1191,40
"agp","Order","highestVar",40,"totalReads",1000,1191,17056,1191,168,1184,40
"agp","Order","highestVar",100,"totalReads",0,1191,17056,1191,168,1191,100
"agp","Order","highestVar",100,"totalReads",500,1191,17056,1191,168,1191,100
"agp","Order","highestVar",100,"totalReads",1000,1191,17056,1191,168,1184,100
"agp","Order","highestVar",150,"totalReads",0,1191,17056,1191,168,1191,150
"agp","Order","highestVar",150,"totalReads",500,1191,17056,1191,168,1191,150
"agp","Order","highestVar",150,"totalReads",1000,1191,17056,1191,168,1184,150
"agp","Family","highestVar",40,"totalReads",0,1191,17056,1191,312,1191,40
"agp","Family","highestVar",40,"totalReads",500,1191,17056,1191,312,1191,40
"agp","Family","highestVar",40,"totalReads",1000,1191,17056,1191,312,1184,40
"agp","Family","highestVar",100,"totalReads",0,1191,17056,1191,312,1191,100
"agp","Family","highestVar",100,"totalReads",500,1191,17056,1191,312,1191,100
"agp","Family","highestVar",100,"totalReads",1000,1191,17056,1191,312,1184,100
"agp","Family","highestVar",150,"totalReads",0,1191,17056,1191,312,1191,150
"agp","Family","highestVar",150,"totalReads",500,1191,17056,1191,312,1191,150
"agp","Family","highestVar",150,"totalReads",1000,1191,17056,1191,312,1184,150
"agp","Genus","highestVar",40,"totalReads",0,1191,17056,1191,883,1191,40
"agp","Genus","highestVar",40,"totalReads",500,1191,17056,1191,883,1191,40
"agp","Genus","highestVar",40,"totalReads",1000,1191,17056,1191,883,1184,40
"agp","Genus","highestVar",100,"totalReads",0,1191,17056,1191,883,1191,100
"agp","Genus","highestVar",100,"totalReads",500,1191,17056,1191,883,1191,100
"agp","Genus","highestVar",100,"totalReads",1000,1191,17056,1191,883,1184,100
"agp","Genus","highestVar",150,"totalReads",0,1191,17056,1191,883,1191,150
"agp","Genus","highestVar",150,"totalReads",500,1191,17056,1191,883,1191,150
"agp","Genus","highestVar",150,"totalReads",1000,1191,17056,1191,883,1184,150
"fukui","Class","highestVar",40,"totalReads",0,110,6797,110,19,110,19
"fukui","Class","highestVar",40,"totalReads",500,110,6797,110,19,110,19
"fukui","Class","highestVar",40,"totalReads",1000,110,6797,110,19,110,19
"fukui","Class","highestVar",100,"totalReads",0,110,6797,110,19,110,19
"fukui","Class","highestVar",100,"totalReads",500,110,6797,110,19,110,19
"fukui","Class","highestVar",100,"totalReads",1000,110,6797,110,19,110,19
"fukui","Class","highestVar",150,"totalReads",0,110,6797,110,19,110,19
"fukui","Class","highestVar",150,"totalReads",500,110,6797,110,19,110,19
"fukui","Class","highestVar",150,"totalReads",1000,110,6797,110,19,110,19
"fukui","Phylum","highestVar",40,"totalReads",0,110,6797,110,12,110,12
"fukui","Phylum","highestVar",40,"totalReads",500,110,6797,110,12,110,12
"fukui","Phylum","highestVar",40,"totalReads",1000,110,6797,110,12,110,12
"fukui","Phylum","highestVar",100,"totalReads",0,110,6797,110,12,110,12
"fukui","Phylum","highestVar",100,"totalReads",500,110,6797,110,12,110,12
"fukui","Phylum","highestVar",100,"totalReads",1000,110,6797,110,12,110,12
"fukui","Phylum","highestVar",150,"totalReads",0,110,6797,110,12,110,12
"fukui","Phylum","highestVar",150,"totalReads",500,110,6797,110,12,110,12
"fukui","Phylum","highestVar",150,"totalReads",1000,110,6797,110,12,110,12
"fukui","Order","highestVar",40,"totalReads",0,110,6797,110,48,110,40
"fukui","Order","highestVar",40,"totalReads",500,110,6797,110,48,110,40
"fukui","Order","highestVar",40,"totalReads",1000,110,6797,110,48,110,40
"fukui","Order","highestVar",100,"totalReads",0,110,6797,110,48,110,48
"fukui","Order","highestVar",100,"totalReads",500,110,6797,110,48,110,48
"fukui","Order","highestVar",100,"totalReads",1000,110,6797,110,48,110,48
"fukui","Order","highestVar",150,"totalReads",0,110,6797,110,48,110,48
